atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2022;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Pb;kg;0.00
2022;Metales pesados;6,0;Uso de disolventes y otros productos;Pb;kg;0.52
2022;Metales pesados;7,0;Transporte por carretera;Pb;kg;5730.02
2022;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Pb;kg;350.28
2022;Metales pesados;9,0;Tratamiento y eliminación de residuos;Pb;kg;68.55
2022;Metales pesados;10,0;Agricultura;Pb;kg;0.00
2022;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Pb;kg;0.00
2022;Metales pesados;1,0;Combustión en la producción y transformación de energía;Se;kg;0.09
2022;Metales pesados;2,0;Plantas de combustión no industrial;Se;kg;4.26
2022;Metales pesados;3,0;Plantas de combustión industrial;Se;kg;5.00
2022;Metales pesados;4,0;Procesos industriales sin combustión;Se;kg;0.00
2022;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Se;kg;0.00
2022;Metales pesados;6,0;Uso de disolventes y otros productos;Se;kg;0.00
2022;Metales pesados;7,0;Transporte por carretera;Se;kg;41.72
2022;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Se;kg;0.75
2022;Metales pesados;9,0;Tratamiento y eliminación de residuos;Se;kg;5.43
2022;Metales pesados;10,0;Agricultura;Se;kg;0.00
2022;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Se;kg;0.00
2022;Metales pesados;1,0;Combustión en la producción y transformación de energía;Zn;kg;57.70
2022;Metales pesados;2,0;Plantas de combustión no industrial;Zn;kg;1009.79
2022;Metales pesados;3,0;Plantas de combustión industrial;Zn;kg;2417.63
2022;Metales pesados;4,0;Procesos industriales sin combustión;Zn;kg;514.98
2022;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Zn;kg;0.00
2022;Metales pesados;6,0;Uso de disolventes y otros productos;Zn;kg;24.55
2022;Metales pesados;7,0;Transporte por carretera;Zn;kg;6866.39
2022;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Zn;kg;94.85
2022;Metales pesados;9,0;Tratamiento y eliminación de residuos;Zn;kg;642.67
2022;Metales pesados;10,0;Agricultura;Zn;kg;0.00
2022;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Zn;kg;0.00
2022;Partículas;1,0;Combustión en la producción y transformación de energía;PM2,5;t;36.96
2022;Partículas;2,0;Plantas de combustión no industrial;PM2,5;t;846.96
2022;Partículas;3,0;Plantas de combustión industrial;PM2,5;t;688.97
2022;Partículas;4,0;Procesos industriales sin combustión;PM2,5;t;165.09
2022;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PM2,5;t;0.00
2022;Partículas;6,0;Uso de disolventes y otros productos;PM2,5;t;278.08
2022;Partículas;7,0;Transporte por carretera;PM2,5;t;1153.72
2022;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PM2,5;t;374.17
2022;Partículas;9,0;Tratamiento y eliminación de residuos;PM2,5;t;363.78
2022;Partículas;10,0;Agricultura;PM2,5;t;36.15
2022;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PM2,5;t;151.80
2022;Partículas;1,0;Combustión en la producción y transformación de energía;PM10;t;38.64
2022;Partículas;2,0;Plantas de combustión no industrial;PM10;t;1001.56
2022;Partículas;3,0;Plantas de combustión industrial;PM10;t;710.91
2022;Partículas;4,0;Procesos industriales sin combustión;PM10;t;1472.29
2022;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PM10;t;0.00
2022;Partículas;6,0;Uso de disolventes y otros productos;PM10;t;309.79
2022;Partículas;7,0;Transporte por carretera;PM10;t;1728.86
2022;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PM10;t;374.78
2022;Partículas;9,0;Tratamiento y eliminación de residuos;PM10;t;373.12
2022;Partículas;10,0;Agricultura;PM10;t;614.91
2022;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PM10;t;185.53
2022;Partículas;1,0;Combustión en la producción y transformación de energía;PST;t;42.00
2022;Partículas;2,0;Plantas de combustión no industrial;PST;t;1169.18
2022;Partículas;3,0;Plantas de combustión industrial;PST;t;758.16
2022;Partículas;4,0;Procesos industriales sin combustión;PST;t;4842.17
2022;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PST;t;0.00
2022;Partículas;6,0;Uso de disolventes y otros productos;PST;t;316.34
2022;Partículas;7,0;Transporte por carretera;PST;t;2468.56
2022;Partículas;8,0;Otros modos de transporte y maquinaria móvil;PST;t;375.56
2022;Partículas;9,0;Tratamiento y eliminación de residuos;PST;t;378.22
2022;Partículas;10,0;Agricultura;PST;t;799.20
2022;Partículas;11,0;Otras fuentes y sumideros (naturaleza);PST;t;286.73
2022;Partículas;1,0;Combustión en la producción y transformación de energía;BC;t;0.21
2022;Partículas;2,0;Plantas de combustión no industrial;BC;t;70.96
2022;Partículas;3,0;Plantas de combustión industrial;BC;t;184.55
2022;Partículas;4,0;Procesos industriales sin combustión;BC;t;0.14
